[Pid: 1304][Handle: 0x2f8]	winlogon.exe	opened	C:\Windows\System32\dwm.exe [Pid: 1696]
[Pid: 1448][Handle: 0x348]	svchost.exe	opened	C:\Windows\System32\svchost.exe [Pid: 1560]
[Pid: 1448][Handle: 0x780]	svchost.exe	opened	C:\Windows\System32\sihost.exe [Pid: 9300]
[Pid: 1448][Handle: 0xa08]	svchost.exe	opened	C:\Program Files\WindowsApps\Microsoft.YourPhone_1.19112.115.0_x64__8wekyb3d8bbwe\YourPhone.exe [Pid: 13248]
[Pid: 1448][Handle: 0xe50]	svchost.exe	opened	C:\Windows\System32\sihost.exe [Pid: 9300]
[Pid: 1448][Handle: 0xe60]	svchost.exe	opened	C:\Windows\System32\sihost.exe [Pid: 9300]
[Pid: 1448][Handle: 0xe64]	svchost.exe	opened	C:\Windows\System32\sihost.exe [Pid: 9300]
[Pid: 1448][Handle: 0xe6c]	svchost.exe	opened	C:\Windows\System32\sihost.exe [Pid: 9300]
[Pid: 1448][Handle: 0xe78]	svchost.exe	opened	C:\Windows\System32\sihost.exe [Pid: 9300]
[Pid: 1448][Handle: 0xe7c]	svchost.exe	opened	C:\Windows\System32\sihost.exe [Pid: 9300]
[Pid: 1448][Handle: 0xe84]	svchost.exe	opened	C:\Windows\System32\sihost.exe [Pid: 9300]
[Pid: 1448][Handle: 0xf74]	svchost.exe	opened	C:\Windows\System32\sihost.exe [Pid: 9300]
[Pid: 1448][Handle: 0xf9c]	svchost.exe	opened	C:\Windows\System32\sihost.exe [Pid: 9300]
[Pid: 1448][Handle: 0x10bc]	svchost.exe	opened	C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.7.106.0_x64__8wekyb3d8bbwe\Microsoft.Notes.exe [Pid: 11928]
[Pid: 1448][Handle: 0x1118]	svchost.exe	opened	C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe [Pid: 11648]
[Pid: 1448][Handle: 0x117c]	svchost.exe	opened	C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe [Pid: 12692]
